gene	description	total	composite.snps.afchange.top.genes.200000bp	composite.snps.timeseries.top.genes.200000bp
ENSSHAG00000017026	1	dynein, cytoplasmic 1, light intermediate chain 1 [Source:HGNC Symbol;Acc:HGNC:18745]	0	1
ENSSHAG00000001822	1	Rho GTPase activating protein 5 [Source:HGNC Symbol;Acc:HGNC:675]	1	0
ENSSHAG00000007278	1	HGH1 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:24161]	1	0
ENSSHAG00000013030	1	Ewing tumor-associated antigen 1 [Source:HGNC Symbol;Acc:HGNC:24648]	0	1
ENSSHAG00000016511	1	nicolin 1 [Source:HGNC Symbol;Acc:HGNC:18317]	0	1
ENSSHAG00000016044	1	NMD3 ribosome export adaptor [Source:HGNC Symbol;Acc:HGNC:24250]	0	1
ENSSHAG00000016513	1	proprotein convertase subtilisin/kexin type 5 [Source:HGNC Symbol;Acc:HGNC:8747]	1	0
ENSSHAG00000016043	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WTZ5]	1	0
ENSSHAG00000012037	1	N-terminal EF-hand calcium binding protein 1 [Source:HGNC Symbol;Acc:HGNC:20983]	0	1
ENSSHAG00000012033	1	LUC7-like (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:6723]	0	1
ENSSHAG00000008703	2	CUB and zona pellucida-like domains 1 [Source:HGNC Symbol;Acc:HGNC:17937]	1	1
ENSSHAG00000012293	1	CXXC finger protein 5 [Source:HGNC Symbol;Acc:HGNC:26943]	1	0
ENSSHAG00000011258	1	chromosome 3 open reading frame 70 [Source:HGNC Symbol;Acc:HGNC:33731]	0	1
ENSSHAG00000011259	2	transmembrane protein 132E [Source:HGNC Symbol;Acc:HGNC:26991]	1	1
ENSSHAG00000009380	1	Kv channel interacting protein 3, calsenilin [Source:HGNC Symbol;Acc:HGNC:15523]	1	0
ENSSHAG00000011250	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WCK6]	0	1
ENSSHAG00000012298	2	heart development protein with EGF-like domains 1 [Source:HGNC Symbol;Acc:HGNC:29227]	1	1
ENSSHAG00000011257	1	protein phosphatase 6, regulatory subunit 2 [Source:HGNC Symbol;Acc:HGNC:19253]	0	1
ENSSHAG00000001606	1	N-acylethanolamine acid amidase [Source:HGNC Symbol;Acc:HGNC:736]	0	1
ENSSHAG00000016998	1	CKLF-like MARVEL transmembrane domain containing 6 [Source:HGNC Symbol;Acc:HGNC:19177]	0	1
ENSSHAG00000011090	1	coronin, actin binding protein, 1A [Source:HGNC Symbol;Acc:HGNC:2252]	0	1
ENSSHAG00000011091	1	homer homolog 3 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:17514]	1	0
ENSSHAG00000016996	1	proteasome (prosome, macropain) subunit, beta type, 2 [Source:HGNC Symbol;Acc:HGNC:9539]	1	0
ENSSHAG00000001608	1	transmembrane protease, serine 11F [Source:HGNC Symbol;Acc:HGNC:29994]	0	1
ENSSHAG00000016466	1	regulator of G-protein signaling 19 [Source:HGNC Symbol;Acc:HGNC:13735]	1	0
ENSSHAG00000001734	1	calcium binding protein 2 [Source:HGNC Symbol;Acc:HGNC:1385]	1	0
ENSSHAG00000006119	1	guanine nucleotide binding protein (G protein), alpha 11 (Gq class) [Source:HGNC Symbol;Acc:HGNC:4379]	1	0
ENSSHAG00000012557	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WH05]	0	1
ENSSHAG00000009548	1	pre-mRNA processing factor 3 [Source:HGNC Symbol;Acc:HGNC:17348]	0	1
ENSSHAG00000012726	1	inturned planar cell polarity protein [Source:HGNC Symbol;Acc:HGNC:29239]	0	1
ENSSHAG00000004633	1	transmembrane protease, serine 11A [Source:HGNC Symbol;Acc:HGNC:27954]	0	1
ENSSHAG00000015411	1	kinesin family member 13A [Source:HGNC Symbol;Acc:HGNC:14566]	1	0
ENSSHAG00000015415	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WRV0]	0	1
ENSSHAG00000015416	1	protein phosphatase 1, regulatory (inhibitor) subunit 1B [Source:HGNC Symbol;Acc:HGNC:9287]	1	0
ENSSHAG00000004386	1	translocase of inner mitochondrial membrane 21 homolog (yeast) [Source:HGNC Symbol;Acc:HGNC:25010]	0	1
ENSSHAG00000004381	1	SRY (sex determining region Y)-box 12 [Source:HGNC Symbol;Acc:HGNC:11198]	1	0
ENSSHAG00000008377	1	CD320 molecule [Source:HGNC Symbol;Acc:HGNC:16692]	1	0
ENSSHAG00000016861	1	F-box protein 22 [Source:HGNC Symbol;Acc:HGNC:13593]	0	1
ENSSHAG00000016863	1	Rho-related BTB domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18738]	0	1
ENSSHAG00000010472	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3W9W2]	0	1
ENSSHAG00000012616	1	TATA box binding protein (TBP)-associated factor, RNA polymerase I, C, 110kDa [Source:HGNC Symbol;Acc:HGNC:11534]	0	1
ENSSHAG00000012613	1	mitochondrial calcium uptake family, member 3 [Source:HGNC Symbol;Acc:HGNC:27820]	0	1
ENSSHAG00000012347	1	contactin 5 [Source:HGNC Symbol;Acc:HGNC:2175]	0	1
ENSSHAG00000015565	1	atypical chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:1611]	1	0
ENSSHAG00000018841	1	TBC1 domain family, member 13 [Source:HGNC Symbol;Acc:HGNC:25571]	0	1
ENSSHAG00000015563	1	Rho guanine nucleotide exchange factor (GEF) 37 [Source:HGNC Symbol;Acc:HGNC:34430]	1	0
ENSSHAG00000008179	1	Ran GTPase activating protein 1 [Source:HGNC Symbol;Acc:HGNC:9854]	1	0
ENSSHAG00000004670	2	basal cell adhesion molecule (Lutheran blood group) [Source:HGNC Symbol;Acc:HGNC:6722]	1	1
ENSSHAG00000011670	1	hemoglobin, mu [Source:HGNC Symbol;Acc:HGNC:4826]	0	1
ENSSHAG00000011675	1	calponin 2 [Source:HGNC Symbol;Acc:HGNC:2156]	1	0
ENSSHAG00000009153	1	coagulation factor II (thrombin) receptor [Source:HGNC Symbol;Acc:HGNC:3537]	1	0
ENSSHAG00000009155	1	CREB regulated transcription coactivator 1 [Source:HGNC Symbol;Acc:HGNC:16062]	1	0
ENSSHAG00000013814	1	tectonic family member 1 [Source:HGNC Symbol;Acc:HGNC:26113]	1	0
ENSSHAG00000018114	2	leucine-rich repeat LGI family, member 3 [Source:HGNC Symbol;Acc:HGNC:18711]	1	1
ENSSHAG00000018115	1	TMEM9 domain family, member B [Source:HGNC Symbol;Acc:HGNC:1168]	0	1
ENSSHAG00000018604	1	integrin, alpha 10 [Source:HGNC Symbol;Acc:HGNC:6135]	1	0
ENSSHAG00000015985	1		1	0
ENSSHAG00000000833	1	peroxiredoxin 5 [Source:HGNC Symbol;Acc:HGNC:9355]	1	0
ENSSHAG00000018609	1	F-box protein 3 [Source:HGNC Symbol;Acc:HGNC:13582]	0	1
ENSSHAG00000005653	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VTJ2]	1	1
ENSSHAG00000005652	1	mitogen-activated protein kinase 13 [Source:HGNC Symbol;Acc:HGNC:6875]	1	0
ENSSHAG00000004498	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VPN6]	0	1
ENSSHAG00000015743	1	G protein-coupled receptor 146 [Source:HGNC Symbol;Acc:HGNC:21718]	1	0
ENSSHAG00000011075	1	dispatched homolog 1 (Drosophila) [Source:HGNC Symbol;Acc:HGNC:19711]	1	0
ENSSHAG00000005659	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VTJ8]	0	1
ENSSHAG00000011715	1	sarcalumenin [Source:HGNC Symbol;Acc:HGNC:11295]	0	1
ENSSHAG00000011714	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WE46]	1	0
ENSSHAG00000018022	1	interleukin 10 [Source:HGNC Symbol;Acc:HGNC:5962]	1	0
ENSSHAG00000008958	1	G-protein signaling modulator 1 [Source:HGNC Symbol;Acc:HGNC:17858]	1	0
ENSSHAG00000004924	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VR30]	0	1
ENSSHAG00000008953	1	chloride intracellular channel 3 [Source:HGNC Symbol;Acc:HGNC:2064]	0	1
ENSSHAG00000008950	1	synapse differentiation inducing 1 [Source:HGNC Symbol;Acc:HGNC:15885]	1	0
ENSSHAG00000005817	1	glutaredoxin 3 [Source:HGNC Symbol;Acc:HGNC:15987]	0	1
ENSSHAG00000008399	1	LEM domain containing 2 [Source:HGNC Symbol;Acc:HGNC:21244]	1	0
ENSSHAG00000015183	1	glutaryl-CoA dehydrogenase [Source:HGNC Symbol;Acc:HGNC:4189]	1	0
ENSSHAG00000016056	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WU08]	0	1
ENSSHAG00000010619	1	stromal antigen 3 [Source:HGNC Symbol;Acc:HGNC:11356]	0	1
ENSSHAG00000010615	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WAD7]	1	0
ENSSHAG00000009025	2	protein phosphatase 1, catalytic subunit, beta isozyme [Source:HGNC Symbol;Acc:HGNC:9282]	1	1
ENSSHAG00000010611	1	transmembrane and immunoglobulin domain containing 2 [Source:HGNC Symbol;Acc:HGNC:28324]	1	0
ENSSHAG00000005039	2	par-6 family cell polarity regulator alpha [Source:HGNC Symbol;Acc:HGNC:15943]	1	1
ENSSHAG00000018333	2	folylpolyglutamate synthase [Source:HGNC Symbol;Acc:HGNC:3824]	1	1
ENSSHAG00000011401	2	pre T-cell antigen receptor alpha [Source:HGNC Symbol;Acc:HGNC:21290]	1	1
ENSSHAG00000014167	1	MLX, MAX dimerization protein [Source:HGNC Symbol;Acc:HGNC:11645]	1	0
ENSSHAG00000011405	1	nuclear protein, transcriptional regulator, 1 [Source:HGNC Symbol;Acc:HGNC:29990]	0	1
ENSSHAG00000012122	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WFH5]	0	1
ENSSHAG00000002091	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VGQ4]	0	1
ENSSHAG00000013855	2	zinc finger protein 148 [Source:HGNC Symbol;Acc:HGNC:12933]	1	1
ENSSHAG00000002099	2	FCH domain only 1 [Source:HGNC Symbol;Acc:HGNC:29002]	1	1
ENSSHAG00000011235	1	chromosome 7 open reading frame 43 [Source:HGNC Symbol;Acc:HGNC:25604]	0	1
ENSSHAG00000005724	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VTS3]	1	1
ENSSHAG00000003949	1	autophagy related 4B, cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:20790]	1	0
ENSSHAG00000010100	2	hematopoietic cell signal transducer [Source:HGNC Symbol;Acc:HGNC:16977]	1	1
ENSSHAG00000010107	1	plexin B2 [Source:HGNC Symbol;Acc:HGNC:9104]	0	1
ENSSHAG00000005904	1	heterogeneous nuclear ribonucleoprotein U-like 1 [Source:HGNC Symbol;Acc:HGNC:17011]	0	1
ENSSHAG00000002419	2	unc-93 homolog B1 (C. elegans) [Source:HGNC Symbol;Acc:HGNC:13481]	1	1
ENSSHAG00000006135	1	mutated in colorectal cancers [Source:HGNC Symbol;Acc:HGNC:6935]	1	0
ENSSHAG00000006132	1	VCP-interacting membrane protein [Source:HGNC Symbol;Acc:HGNC:30396]	0	1
ENSSHAG00000013916	1	mannosidase, endo-alpha-like [Source:HGNC Symbol;Acc:HGNC:26452]	1	0
ENSSHAG00000006392	1	zinc metallopeptidase STE24 [Source:HGNC Symbol;Acc:HGNC:12877]	1	0
ENSSHAG00000006390	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VVZ3]	0	1
ENSSHAG00000014290	1	ATPase, H+ transporting, lysosomal V0 subunit a1 [Source:HGNC Symbol;Acc:HGNC:865]	1	0
ENSSHAG00000018010	1	B-cell CLL/lymphoma 9 [Source:HGNC Symbol;Acc:HGNC:1008]	1	0
ENSSHAG00000002895	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VJD4]	1	0
ENSSHAG00000009843	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3W7P5]	0	1
ENSSHAG00000002892	1	adenosine deaminase domain containing 1 (testis-specific) [Source:HGNC Symbol;Acc:HGNC:30713]	1	0
ENSSHAG00000014702	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WPE1]	0	1
ENSSHAG00000006621	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VWR1]	0	1
ENSSHAG00000006620	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VWR0]	1	1
ENSSHAG00000010048	2	TBCC domain containing 1 [Source:HGNC Symbol;Acc:HGNC:25546]	1	1
ENSSHAG00000006625	1	leucine rich repeat containing 53 [Source:HGNC Symbol;Acc:HGNC:25255]	0	1
ENSSHAG00000007712	2	NEL-like 1 (chicken) [Source:HGNC Symbol;Acc:HGNC:7750]	1	1
ENSSHAG00000007861	1	5-hydroxytryptamine (serotonin) receptor 7, adenylate cyclase-coupled [Source:HGNC Symbol;Acc:HGNC:5302]	0	1
ENSSHAG00000016727	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WWA0]	0	1
ENSSHAG00000006408	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VW17]	1	1
ENSSHAG00000002964	1	signal sequence receptor, alpha [Source:HGNC Symbol;Acc:HGNC:11323]	1	0
ENSSHAG00000007889	1	speckle-type POZ protein [Source:HGNC Symbol;Acc:HGNC:11254]	0	1
ENSSHAG00000006402	1	carbohydrate (chondroitin 4) sulfotransferase 11 [Source:HGNC Symbol;Acc:HGNC:17422]	0	1
ENSSHAG00000006406	1	chromosome 6 open reading frame 25 [Source:HGNC Symbol;Acc:HGNC:13937]	1	0
ENSSHAG00000015367	1	retinoid X receptor, gamma [Source:HGNC Symbol;Acc:HGNC:10479]	0	1
ENSSHAG00000006242	2	sphingosine-1-phosphate receptor 5 [Source:HGNC Symbol;Acc:HGNC:14299]	1	1
ENSSHAG00000015702	1	cyclin-dependent kinase 12 [Source:HGNC Symbol;Acc:HGNC:24224]	1	0
ENSSHAG00000006247	1	MAF1 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:24966]	1	0
ENSSHAG00000014343	1	family with sequence similarity 212, member B [Source:HGNC Symbol;Acc:HGNC:28045]	0	1
ENSSHAG00000007665	1	small ArfGAP2 [Source:HGNC Symbol;Acc:HGNC:25082]	1	0
ENSSHAG00000014613	1	iduronidase, alpha-L- [Source:HGNC Symbol;Acc:HGNC:5391]	0	1
ENSSHAG00000004459	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VPJ2]	1	1
ENSSHAG00000014615	1	ephrin-B2 [Source:HGNC Symbol;Acc:HGNC:3227]	0	1
ENSSHAG00000014344	1	ariadne RBR E3 ubiquitin protein ligase 2 [Source:HGNC Symbol;Acc:HGNC:690]	1	0
ENSSHAG00000018080	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3X0X7]	0	1
ENSSHAG00000017120	1	forkhead box J1 [Source:HGNC Symbol;Acc:HGNC:3816]	0	1
ENSSHAG00000014581	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WP01]	0	1
ENSSHAG00000014583	1	tyrosine 3-monooxygenase/tryptophan 5-monooxygenase activation protein, epsilon [Source:HGNC Symbol;Acc:HGNC:12851]	1	0
ENSSHAG00000014584	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WP05]	0	1
ENSSHAG00000016613	1		0	1
ENSSHAG00000016610	2	tRNA methyltransferase 44 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:HGNC:26653]	1	1
ENSSHAG00000016615	1	DEAD (Asp-Glu-Ala-Asp) box helicase 56 [Source:HGNC Symbol;Acc:HGNC:18193]	1	0
ENSSHAG00000018084	1	chromosome 11 open reading frame 16 [Source:HGNC Symbol;Acc:HGNC:1169]	0	1
ENSSHAG00000003762	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VM66]	1	0
ENSSHAG00000014830	1	T-cell immunoglobulin and mucin domain containing 4 [Source:HGNC Symbol;Acc:HGNC:25132]	0	1
ENSSHAG00000007046	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VY71]	1	1
ENSSHAG00000009713	1	mannosidase, alpha, class 2A, member 2 [Source:HGNC Symbol;Acc:HGNC:6825]	1	0
ENSSHAG00000007042	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VY65]	0	1
ENSSHAG00000007043	1	exportin, tRNA [Source:HGNC Symbol;Acc:HGNC:12826]	0	1
ENSSHAG00000000012	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VA07]	0	1
ENSSHAG00000017836	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3X030]	1	0
ENSSHAG00000007048	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VY73]	1	0
ENSSHAG00000017831	1	fibroblast activation protein, alpha [Source:HGNC Symbol;Acc:HGNC:3590]	1	0
ENSSHAG00000010821	1	coatomer protein complex, subunit epsilon [Source:HGNC Symbol;Acc:HGNC:2234]	1	0
ENSSHAG00000017586	2	NADH dehydrogenase (ubiquinone) Fe-S protein 3, 30kDa (NADH-coenzyme Q reductase) [Source:HGNC Symbol;Acc:HGNC:7710]	1	1
ENSSHAG00000017239	1	early B-cell factor 4 [Source:HGNC Symbol;Acc:HGNC:29278]	0	1
ENSSHAG00000017580	1	T cell activation inhibitor, mitochondrial [Source:HGNC Symbol;Acc:HGNC:25241]	0	1
ENSSHAG00000017582	2	kelch repeat and BTB (POZ) domain containing 4 [Source:HGNC Symbol;Acc:HGNC:23761]	1	1
ENSSHAG00000017792	2	nucleoporin 160kDa [Source:HGNC Symbol;Acc:HGNC:18017]	1	1
ENSSHAG00000010916	1	PDZK1 interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:16887]	0	1
ENSSHAG00000010917	1	HD domain containing 3 [Source:HGNC Symbol;Acc:HGNC:30522]	1	0
ENSSHAG00000007440	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VZI4]	0	1
ENSSHAG00000007442	1	mitotic spindle positioning [Source:HGNC Symbol;Acc:HGNC:27000]	1	0
ENSSHAG00000001948	1	ZFP3 zinc finger protein [Source:HGNC Symbol;Acc:HGNC:12861]	0	1
ENSSHAG00000005103	2	BCL2-antagonist/killer 1 [Source:HGNC Symbol;Acc:HGNC:949]	1	1
ENSSHAG00000013249	1	rabphilin 3A-like (without C2 domains) [Source:HGNC Symbol;Acc:HGNC:10296]	1	0
ENSSHAG00000005102	1	gamma-aminobutyric acid (GABA) A receptor, alpha 5 [Source:HGNC Symbol;Acc:HGNC:4079]	0	1
ENSSHAG00000003612	1	spermatogenesis and centriole associated 1 [Source:HGNC Symbol;Acc:HGNC:30510]	1	0
ENSSHAG00000003618	2	serine hydroxymethyltransferase 1 (soluble) [Source:HGNC Symbol;Acc:HGNC:10850]	1	1
ENSSHAG00000012192	1	zinc finger, DHHC-type containing 2 [Source:HGNC Symbol;Acc:HGNC:18469]	0	1
ENSSHAG00000017902	1	protein tyrosine phosphatase, receptor type, G [Source:HGNC Symbol;Acc:HGNC:9671]	0	1
ENSSHAG00000017906	1	cadherin, EGF LAG seven-pass G-type receptor 2 [Source:HGNC Symbol;Acc:HGNC:3231]	1	0
ENSSHAG00000001542	2	family with sequence similarity 65, member A [Source:HGNC Symbol;Acc:HGNC:25836]	1	1
ENSSHAG00000007289	1	angiopoietin-like 4 [Source:HGNC Symbol;Acc:HGNC:16039]	1	0
ENSSHAG00000003416	1	testis-specific serine kinase 4 [Source:HGNC Symbol;Acc:HGNC:19825]	1	0
ENSSHAG00000016505	1	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4F [Source:HGNC Symbol;Acc:HGNC:10734]	0	1
ENSSHAG00000013024	1	connector enhancer of kinase suppressor of Ras 2 [Source:HGNC Symbol;Acc:HGNC:19701]	1	0
ENSSHAG00000008718	1	tumor protein p63 regulated 1-like [Source:HGNC Symbol;Acc:HGNC:27007]	0	1
ENSSHAG00000016059	1	proteasome (prosome, macropain) subunit, beta type, 7 [Source:HGNC Symbol;Acc:HGNC:9544]	1	0
ENSSHAG00000012053	1	mucin 13, cell surface associated [Source:HGNC Symbol;Acc:HGNC:7511]	0	1
ENSSHAG00000016509	2	transmembrane BAX inhibitor motif containing 1 [Source:HGNC Symbol;Acc:HGNC:23410]	1	1
ENSSHAG00000004065	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VN72]	1	0
ENSSHAG00000015971	1	translocase of outer mitochondrial membrane 22 homolog (yeast) [Source:HGNC Symbol;Acc:HGNC:18002]	0	1
ENSSHAG00000015970	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WTR2]	0	1
ENSSHAG00000001619	1	tripartite motif containing 65 [Source:HGNC Symbol;Acc:HGNC:27316]	0	1
ENSSHAG00000013115	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WIY2]	0	1
ENSSHAG00000011088	1	endosulfine alpha [Source:HGNC Symbol;Acc:HGNC:3360]	0	1
ENSSHAG00000011087	1	zinc finger, matrin-type 1 [Source:HGNC Symbol;Acc:HGNC:29377]	0	1
ENSSHAG00000013754	1	DnaJ (Hsp40) homolog, subfamily C, member 5 beta [Source:HGNC Symbol;Acc:HGNC:24138]	1	0
ENSSHAG00000011085	1	chondroitin sulfate N-acetylgalactosaminyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:24292]	0	1
ENSSHAG00000001726	1	mitogen-activated protein kinase 14 [Source:HGNC Symbol;Acc:HGNC:6876]	1	0
ENSSHAG00000013119	1	adaptor-related protein complex 1, sigma 2 subunit [Source:HGNC Symbol;Acc:HGNC:560]	1	0
ENSSHAG00000013111	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WIX7]	0	1
ENSSHAG00000013117	1	ARP3 actin-related protein 3 homolog (yeast) [Source:HGNC Symbol;Acc:HGNC:170]	0	1
ENSSHAG00000001729	1	adaptor-related protein complex 5, beta 1 subunit [Source:HGNC Symbol;Acc:HGNC:25104]	1	0
ENSSHAG00000016474	1	aminomethyltransferase [Source:HGNC Symbol;Acc:HGNC:473]	0	1
ENSSHAG00000008001	2	serine/threonine kinase 32C [Source:HGNC Symbol;Acc:HGNC:21332]	1	1
ENSSHAG00000012757	1	WD repeat domain 91 [Source:HGNC Symbol;Acc:HGNC:24997]	0	1
ENSSHAG00000008004	1		0	1
ENSSHAG00000008008	1	RNA exonuclease 2 [Source:HGNC Symbol;Acc:HGNC:17851]	1	0
ENSSHAG00000009531	1	cartilage oligomeric matrix protein [Source:HGNC Symbol;Acc:HGNC:2227]	1	0
ENSSHAG00000004397	2	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3VPB8]	1	1
ENSSHAG00000004396	1	dehydrogenase/reductase (SDR family) member 3 [Source:HGNC Symbol;Acc:HGNC:17693]	0	1
ENSSHAG00000004392	1	deoxynucleotidyltransferase, terminal, interacting protein 2 [Source:HGNC Symbol;Acc:HGNC:24013]	1	0
ENSSHAG00000004399	2	insulin-like 3 (Leydig cell) [Source:HGNC Symbol;Acc:HGNC:6086]	1	1
ENSSHAG00000005824	1	A kinase (PRKA) anchor protein 11 [Source:HGNC Symbol;Acc:HGNC:369]	0	1
ENSSHAG00000001052	2	solute carrier family 19 (folate transporter), member 1 [Source:HGNC Symbol;Acc:HGNC:10937]	1	1
ENSSHAG00000010449	1	peroxiredoxin 4 [Source:HGNC Symbol;Acc:HGNC:17169]	1	0
ENSSHAG00000016873	1	RUN and FYVE domain containing 4 [Source:HGNC Symbol;Acc:HGNC:24804]	0	1
ENSSHAG00000016872	1	polycomb group ring finger 1 [Source:HGNC Symbol;Acc:HGNC:17615]	0	1
ENSSHAG00000012574	2	ring finger protein 19B [Source:HGNC Symbol;Acc:HGNC:26886]	1	1
ENSSHAG00000010389	1	protease, serine, 38 [Source:HGNC Symbol;Acc:HGNC:29625]	0	1
ENSSHAG00000016983	1	chromosome 14 open reading frame 105 [Source:HGNC Symbol;Acc:HGNC:20189]	1	0
ENSSHAG00000016985	1	rhotekin [Source:HGNC Symbol;Acc:HGNC:10466]	0	1
ENSSHAG00000016989	1	neuro-oncological ventral antigen 2 [Source:HGNC Symbol;Acc:HGNC:7887]	0	1
ENSSHAG00000018851	1	endonuclease G [Source:HGNC Symbol;Acc:HGNC:3346]	0	1
ENSSHAG00000018857	1	chromosome 9 open reading frame 114 [Source:HGNC Symbol;Acc:HGNC:26933]	0	1
ENSSHAG00000009444	1	adenosine monophosphate deaminase 1 [Source:HGNC Symbol;Acc:HGNC:468]	0	1
ENSSHAG00000009449	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3W6A9]	1	0
ENSSHAG00000009148	1	prostaglandin D2 receptor 2 [Source:HGNC Symbol;Acc:HGNC:4502]	1	0
ENSSHAG00000009146	1	TBC1 domain family, member 7 [Source:HGNC Symbol;Acc:HGNC:21066]	1	0
ENSSHAG00000009141	2	kynureninase [Source:HGNC Symbol;Acc:HGNC:6469]	1	1
ENSSHAG00000011668	1	sterile alpha motif domain containing 8 [Source:HGNC Symbol;Acc:HGNC:26320]	0	1
ENSSHAG00000012402	2	transmembrane protein 54 [Source:HGNC Symbol;Acc:HGNC:24143]	1	1
ENSSHAG00000012403	1		0	1
ENSSHAG00000004808	1	caspase 2, apoptosis-related cysteine peptidase [Source:HGNC Symbol;Acc:HGNC:1503]	1	0
ENSSHAG00000013802	1	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4G [Source:HGNC Symbol;Acc:HGNC:10735]	0	1
ENSSHAG00000015353	1	neuronal pentraxin receptor [Source:HGNC Symbol;Acc:HGNC:7954]	0	1
ENSSHAG00000004806	1	DnaJ (Hsp40) homolog, subfamily A, member 2 [Source:HGNC Symbol;Acc:HGNC:14884]	0	1
ENSSHAG00000018104	1	t-complex 11, testis-specific-like 1 [Source:HGNC Symbol;Acc:HGNC:25655]	0	1
ENSSHAG00000015990	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WTT6]	0	1
ENSSHAG00000004248	1	protein C (inactivator of coagulation factors Va and VIIIa) [Source:HGNC Symbol;Acc:HGNC:9451]	0	1
ENSSHAG00000015994	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WTU0]	0	1
ENSSHAG00000018613	2	solute carrier family 25 (mitochondrial carrier; phosphate carrier), member 25 [Source:HGNC Symbol;Acc:HGNC:20663]	1	1
ENSSHAG00000004710	2	hypocretin (orexin) neuropeptide precursor [Source:HGNC Symbol;Acc:HGNC:4847]	1	1
ENSSHAG00000004240	1		1	0
ENSSHAG00000018619	1	peroxisomal biogenesis factor 11 beta [Source:HGNC Symbol;Acc:HGNC:8853]	1	0
ENSSHAG00000005626	1	signal peptide, CUB domain, EGF-like 1 [Source:HGNC Symbol;Acc:HGNC:13441]	1	0
ENSSHAG00000018584	1		0	1
ENSSHAG00000015755	1	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:G3WT05]	1	0
ENSSHAG00000007120	1	transportin 1 [Source:HGNC Symbol;Acc:HGNC:6401]	0	1
ENSSHAG00000010598	1	solute carrier family 23 (ascorbic acid transporter), member 1 [Source:HGNC Symbol;Acc:HGNC:10974]	1	0
